id,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,qualifiers,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,type_display_name,outcome_type_display_name,period_display_name,player_id,shirt_no,name,position,team_id
2635480519,29,2,6.0,51,294848,55.2,0.0,62.5,11.2,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.86'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,294848,15,Pablo Maffeo,DR,51
2635480555,30,2,9.0,51,273229,63.1,9.2,66.6,4.9,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.61'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,273229,17,Cyle Larin,FW,51
2635480635,31,2,10.0,51,425092,65.5,4.6,78.1,3.3,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,425092,18,Antonio Sánchez,MR,51
2635480641,32,2,11.0,51,273229,78.1,3.3,,,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",True,,,,,False,False,False,BallTouch,Unsuccessful,FirstHalf,273229,17,Cyle Larin,FW,51
2635480987,14,2,22.0,62,374813,27.3,100.0,51.1,97.2,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.16'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '97.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.1'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,374813,23,Manu Sánchez,DL,62
2635480999,15,2,22.0,62,333048,51.1,97.2,,,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",True,,,,,False,False,False,BallTouch,Successful,FirstHalf,333048,18,Jørgen Strand Larsen,FW,62
2635481007,34,2,26.0,51,377219,14.4,6.1,,,[],False,,,,,False,False,False,BallRecovery,Successful,FirstHalf,377219,20,Giovanni González,DC,51
2635481087,35,2,27.0,51,377219,14.9,5.4,6.1,38.2,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.96'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '6.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.1'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,377219,20,Giovanni González,DC,51
2635481199,36,2,29.0,51,135061,6.2,37.7,4.2,10.1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.60'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '4.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,135061,1,Predrag Rajkovic,GK,51
2635494693,122,11,52.0,51,294848,62.3,12.0,,,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '123'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",False,,,,,False,False,False,Aerial,Successful,FirstHalf,294848,15,Pablo Maffeo,DR,51
2635481281,16,2,33.0,62,333048,92.4,94.0,,,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '37'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",True,,,,,False,False,False,Tackle,Unsuccessful,FirstHalf,333048,18,Jørgen Strand Larsen,FW,62
2635481493,39,2,33.0,51,377219,7.2,4.3,,,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",True,,,,,False,False,False,BallTouch,Successful,FirstHalf,377219,20,Giovanni González,DC,51
2635481879,18,2,58.0,62,374813,91.2,100.0,90.8,93.1,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.64'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.1'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",True,,,,,False,False,False,Pass,Successful,FirstHalf,374813,23,Manu Sánchez,DL,62
